GA_LH_000001	Orbis sensualium pictus. Den gandske Verden fuld af de Ting som kand sees og sandses afmaled	Bøker	Illustrerte	Bøker	1550-1750	1	Sikker	1686		Sikker	København	Danmark	Europa	Comenius, Johann Amos	10.5	15.6			Trykk på papir, innbundet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			København: 1686. Illustrert lærebok for barn. Illustrasjoner i xylografi. Tekst på latin, tysk og dansk.	Lysten og hemmeligheten, lærebøker, 1600-1699	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000002	Har Dyrene Sjæl?	Bøker	Bildebøker			1	Sikker	1915		Sikker	Oslo	Norge	Europa	Kittelsen, Theodor	20.9	25.8			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Venstre			Kristiania: Gyldendalske Boghandel, Nordisk Forlag, 1915. 2. utgave. 20 fargelitografier med illustrasjoner av Theodor Kittelsen.	Lysten og hemmeligheten, barnebøker, 1910-1919	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000003	Den hemmelighedsfulde ø	Bøker	Skjønnlitteratur	Bøker	Illustrerte	2	Sikker	1903		Sikker	København	Danmark	Europa	Verne, Jules	15.8	22.9			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Venstre			København: Det Nordiske Forlag, 1903. Dansk oversettelse (orig. tittel:  "L'ile mysterieuse"). 	Lysten og hemmeligheten, 1900-1909	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000004_A	Privat fotoalbum fra 2. verdenskrig. Del 1	Foto/film	Fotoalbum			1	Sikker	1940	1945	Sikker		Norge	Europa	Kamrath-Lied, R.	22.3	24.5			Fotografi montert på kartong, innbundet.		Magasinet	Reol A2	Hylle 3	Venstre			Oslo 1940-1945. Amatørfotografier fra 2. verdenskrig. Montert i fotoalbum med håndskrevet bildetekst. Løse vedlegg: fanzine, "Og så kom freden og friheten".	Lysten og hemmeligheten, ARKIV, krig, amatørfoto, 1940-1949	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000004_B	Privat fotoalbum fra 2. verdenskrig. Del 2	Foto/film	Fotoalbum			1	Sikker	1940	1945	Sikker		Norge	Europa	Kamrath-Lied, R.	22.3	24.5			Fotografi montert på kartong, innbundet.		Magasinet	Reol A2	Hylle 3	Venstre			Oslo 1940-1945. Amatørfotografier fra 2. verdenskrig. Montert i fotoalbum med håndskrevet bildetekst. 	Lysten og hemmeligheten, krig, amatørfoto, 1940-1949	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000005_A	Eventyrbog for børn (rød)	Bøker	Illustrerte			1	Sikker	1883		Sikker	København	Danmark	Europa	Asbjørnsen, Peter Christen & Moe, Jørgen	14.3	20			Trykk på papir, innbundet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			København: Gyldendalske Boghandels Forlag, 1883. Illustrasjoner av Erik Werenskiold og Theodor Kittelsen. Reproduksjon i xylografi av Rasmus Fredrik Hendriksen.	Lysten og hemmeligheten, eventyr, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000005_B	Eventyrbog for børn (svart)	Bøker	Illustrerte			2	Sikker	1883		Sikker	København	Danmark	Europa	Asbjørnsen, Peter Christen & Moe, Jørgen	14.3	20			Trykk på papir, innbundet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse	Dublett		København: Gyldendalske Boghandels Forlag, 1883. Illustrasjoner av Erik Werenskiold og Theodor Kittelsen. Reproduksjon i xylografi av Rasmus Fredrik Hendriksen.	Lysten og hemmeligheten, eventyr, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000006	ABC	Bøker	Bildebøker			1	Sikker	1938		Sikker	Oslo	Norge	Europa	Rumohr, Marianne & Hanno, Carl von	18.2	22.8			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Midten			Oslo: Johan Grundt Tanum, 1938. Illustrert lærebok for barn. Tekst av Marianne Rumohr. Illustrert av Carl von Hanno.	Lysten og hemmeligheten, lærebøker, barnebøker, alfabet, 1930-1939	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000007	Atuagagdliutit. 1. årgang. Nr. 1-4	Bøker	Grønland	Minoritetskulturer	Inuitt	2	Sikker	1861		Sikker	Nuuk 	Grønland	Europa	Bertelsen, Rasmus (red.)	21	26.5			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Venstre			Godthaab: L. Möller, 1861. 1. årgang, nr. 1-4. Illustrasjoner i originalgrafikk.	Lysten og hemmeligheten, avis, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000008	Atuagagdliutit. 1864-65. Nr. 25-48	Bøker	Grønland	Minoritetskulturer	Inuitt	1	Sikker	1864	1865	Sikker	Nuuk 	Grønland	Europa	Berthelsen, Rasmus (red.)	21	26.5			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Venstre	Dublett finnes		Godthaab: L. Möller, 1864-65. Nr. 25-48. Illustrasjoner i originalgrafikk.	Lysten og hemmeligheten, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
